risp;total_crimes;latitude;longitude;populacao;renda_media;idh_medio;taxa_de_analfabetismo(%)
1;156;-19.9167;-43.9345;2315560;3341.20;0.81;2.22
2;2808;-19.7668;-44.0868;1905395;1305.202;0.695;3.881
3;2808;-19.6944;-43.9237;988106;1495.46;0.715;3.599
4;13416;-21.7642;-43.3496;1574197;1150.62;0.673;4.88
5;4680;-19.7479;-47.9319;823093;1603.20;0.712;4.643
6;6864;-21.2475;-44.9997;880430;1268.97;0.695;5.377
7;7800;-20.1452;-44.8912;1182836;1361.88;0.702;4.37
8;9048;-18.8545;-41.9459;687921;843.58;0.63;9.845
9;2808;-18.9128;-48.2755;1100550;1500.40;0.714;3.975
10;3588;-19.0003;-46.3162;534508;1487.99;0.707;5.203
11;12012;-16.7286;-43.8578;1427455;663.03;0.623;11.76
12;15132;-19.482;-42.5279;1718360;981.79;0.654;6.877
13;9516;-21.225;-43.7737;732771;1031.53;0.671;5.157
14;8112;-18.7573;-44.4303;673977;830.40;0.638;10.375
15;9360;-17.8576;-41.5059;825657;714.86;0.607;16.033
16;2652;-16.3595;-46.9067;377579;1026.213;0.675;7.021
17;11232;-22.23;-45.938;1023552;1238.88;0.691;5.181
18;8580;-21.789;-46.5663;1105320;1420.186;0.707;5.057
19;2496;-19.4671;-44.2469;433110;1226.99;0.698;3.885
